date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:43:55	5256/5256	---MCZ	200	added ('OK')	application/javascript	etag:W/%221488-1695f561598%22	https://vuetifyjs.com/dist/documentation.81752aa354269a842f03.js	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/dist/documentation.81752aa354269a842f03.js	(from https://vuetifyjs.com/en/getting-started/quick-start)
22:43:55	95328/95328	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202019%2002:43:57%20GMT	https://vuetifyjs.com/en/getting-started/why-vuetify	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/en/getting-started/why-vuetify.html	(from https://vuetifyjs.com/en/getting-started/quick-start)
22:43:56	98750/98750	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202019%2002:43:57%20GMT	https://vuetifyjs.com/en/getting-started/frequently-asked-questions	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/en/getting-started/frequently-asked-questions.html	(from https://vuetifyjs.com/en/getting-started/quick-start)
22:43:57	91535/91535	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202019%2002:43:58%20GMT	https://vuetifyjs.com/en/getting-started/meet-the-team	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/en/getting-started/meet-the-team.html	(from https://vuetifyjs.com/en/getting-started/quick-start)
22:43:57	93839/93839	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202019%2002:43:59%20GMT	https://vuetifyjs.com/en/getting-started/contributing	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/en/getting-started/contributing.html	(from https://vuetifyjs.com/en/getting-started/quick-start)
22:43:58	80545/80545	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202019%2002:43:59%20GMT	https://vuetifyjs.com/en/getting-started/roadmap	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/en/getting-started/roadmap.html	(from https://vuetifyjs.com/en/getting-started/quick-start)
22:43:58	81896/81896	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202019%2002:44:00%20GMT	https://vuetifyjs.com/en/getting-started/consulting-and-support	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/en/getting-started/consulting-and-support.html	(from https://vuetifyjs.com/en/getting-started/quick-start)
22:43:59	89563/89563	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202019%2002:44:00%20GMT	https://vuetifyjs.com/en/framework/a-la-carte	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/en/framework/a-la-carte.html	(from https://vuetifyjs.com/en/getting-started/quick-start)
22:44:00	130909/130909	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202019%2002:44:01%20GMT	https://vuetifyjs.com/en/framework/grid	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/en/framework/grid.html	(from https://vuetifyjs.com/en/getting-started/quick-start)
22:44:00	106514/106514	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202019%2002:44:01%20GMT	https://vuetifyjs.com/en/framework/grid-lists	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/en/framework/grid-lists.html	(from https://vuetifyjs.com/en/getting-started/quick-start)
22:44:01	98258/98258	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202019%2002:44:02%20GMT	https://vuetifyjs.com/en/framework/icons	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/en/framework/icons.html	(from https://vuetifyjs.com/en/getting-started/quick-start)
